Epoch,Train Loss,Train Recon,Train KL,Train SupCon,Val Loss,Val Recon,Val β-KL,Val SupCon
1,4.4538,1.4199,78.2999,3.8281,3.8818,0.7864,0.2589,3.782
2,4.0927,0.9101,46.9947,3.7811,3.962,0.734,0.401,3.7693
3,4.1892,0.894,37.5543,3.7713,4.1034,0.7684,0.512,3.764
4,4.3126,0.9263,32.1745,3.7669,4.2304,0.8147,0.5951,3.7607
5,4.4338,0.9809,28.0516,3.7645,4.3616,0.8936,0.6479,3.7601
6,4.4824,1.0082,26.0964,3.7624,4.3565,0.883,0.6547,3.7584
7,4.4669,0.9936,26.1121,3.7607,4.3512,0.8861,0.6465,3.7581
8,4.4548,0.98,26.1993,3.7598,4.3382,0.8672,0.6537,3.7564
9,4.4445,0.9674,26.315,3.759,4.3288,0.8552,0.6569,3.7557
10,4.4351,0.9559,26.4256,3.7582,4.3232,0.8455,0.6614,3.7552
11,4.4269,0.9456,26.5258,3.7575,4.3165,0.8302,0.6709,3.7539
12,4.4191,0.9359,26.6261,3.7567,4.3104,0.8276,0.6674,3.754
13,4.4126,0.927,26.7229,3.7567,4.3116,0.8214,0.6746,3.7541
14,4.4063,0.9189,26.8168,3.756,4.3023,0.8139,0.6742,3.7523
15,4.4,0.9106,26.9034,3.7558,4.2955,0.81,0.6713,3.7522
16,4.3941,0.9031,26.9882,3.755,4.2919,0.7997,0.6787,3.7514
17,4.3891,0.896,27.0711,3.755,4.2869,0.7937,0.6793,3.7519
18,4.3841,0.8893,27.1528,3.7546,4.2831,0.7878,0.6817,3.7515
19,4.3797,0.883,27.2352,3.7544,4.2861,0.7858,0.6874,3.7506
20,4.3752,0.877,27.3112,3.7539,4.2754,0.7819,0.6804,3.7508
21,4.3714,0.8716,27.3849,3.7536,4.2731,0.775,0.685,3.7508
22,4.3676,0.8665,27.4506,3.7531,4.2714,0.7802,0.6789,3.7497
23,4.3644,0.8619,27.51,3.753,4.2688,0.7707,0.686,3.7494
24,4.3615,0.8575,27.5703,3.753,4.2635,0.7625,0.6886,3.7499
25,4.3581,0.8532,27.6213,3.7525,4.2637,0.7617,0.6897,3.7498
26,4.3554,0.8493,27.6732,3.7523,4.2621,0.7548,0.6949,3.7498
27,4.3533,0.8461,27.7155,3.7524,4.258,0.7483,0.6978,3.7492
28,4.3504,0.8425,27.7565,3.752,4.2565,0.7505,0.6942,3.7491
29,4.3481,0.8393,27.7932,3.7519,4.2548,0.7467,0.6963,3.749
30,4.3458,0.8363,27.8297,3.7517,4.2541,0.744,0.6981,3.7493
31,4.3439,0.8334,27.8662,3.7519,4.252,0.7474,0.6928,3.7489
32,4.3415,0.8305,27.9028,3.7513,4.2502,0.7376,0.7008,3.7489
33,4.3399,0.8279,27.9351,3.7515,4.2479,0.7363,0.7001,3.7487
34,4.341,0.8282,27.9751,3.7512,4.248,0.7375,0.699,3.7486
35,4.3345,0.8243,28.0137,3.7466,,,,
