Epoch,Train Reconstruction,Validation Reconstruction
1,1.4199,0.7864
2,0.9101,0.734
3,0.894,0.7684
4,0.9263,0.8147
5,0.9809,0.8936
6,1.0082,0.883
7,0.9936,0.8861
8,0.98,0.8672
9,0.9674,0.8552
10,0.9559,0.8455
11,0.9456,0.8302
12,0.9359,0.8276
13,0.927,0.8214
14,0.9189,0.8139
15,0.9106,0.81
16,0.9031,0.7997
17,0.896,0.7937
18,0.8893,0.7878
19,0.883,0.7858
20,0.877,0.7819
21,0.8716,0.775
22,0.8665,0.7802
23,0.8619,0.7707
24,0.8575,0.7625
25,0.8532,0.7617
26,0.8493,0.7548
27,0.8461,0.7483
28,0.8425,0.7505
29,0.8393,0.7467
30,0.8363,0.744
31,0.8334,0.7474
32,0.8305,0.7376
33,0.8279,0.7363
34,0.8282,0.7375
35,0.8243,
