Epoch,Step,Train Loss,Train Recon,Train KL,Train β-KL,Train SupCon,Val Loss,Val Recon,Val KL,Val β-KL,Val SupCon
1,2000,5.7501,2.7788,54.8,0.0411,3.907,4.7271,1.7693,92.8912,0.0693,3.8513
1,4000,4.5911,1.6062,63.355704697986575,0.0944,3.854,4.1691,1.1902,79.3168,0.1184,3.8141
1,6000,4.2822,1.2736,62.00892857142858,0.1389,3.8263,3.9892,0.9788,71.3839,0.1598,3.8008
1,8000,4.1659,1.1311,59.331103678929765,0.1774,3.8099,3.9176,0.8782,65.7913,0.1964,3.7907
1,10000,4.1122,1.0507,56.75603217158177,0.2117,3.7996,3.897,0.8311,60.4979,0.2258,3.7868
1,12000,4.0864,0.9956,54.04017857142858,0.2421,3.7983,3.8818,0.7864,57.8089,0.2589,3.782
2,14000,4.0724,0.9621,51.47227533460803,0.2692,3.7881,3.8782,0.7616,54.0494,0.2824,3.779
2,16000,4.0713,0.938,49.21273031825796,0.2938,3.786,3.8852,0.7455,51.5325,0.3077,3.776
2,18000,4.0761,0.9219,47.098214285714285,0.3165,3.7836,3.9008,0.7408,49.0168,0.3293,3.7743
2,20000,4.0845,0.9087,45.28150134048258,0.3378,3.784,3.9119,0.7308,47.0127,0.3509,3.7736
2,22000,4.0926,0.9003,43.593179049939096,0.3579,3.7791,3.9259,0.7343,44.185,0.3628,3.7718
2,24000,4.1071,0.8957,42.042410714285715,0.3767,3.7797,3.9454,0.7325,43.0409,0.3855,3.7698
2,26000,4.1188,0.8908,40.71134020618556,0.3949,3.7775,3.962,0.734,41.3226,0.401,3.7693
3,28000,4.1313,0.8898,39.492822966507184,0.4127,3.7717,3.9818,0.7339,40.3657,0.4218,3.7681
3,30000,4.1529,0.8905,38.41964285714286,0.4303,3.7762,4.0039,0.7429,38.9782,0.4364,3.7661
3,32000,4.1655,0.889,37.462311557788944,0.4473,3.7722,4.0213,0.74,38.2134,0.4564,3.7665
3,34000,4.1821,0.8907,36.57210401891253,0.4641,3.7698,4.0456,0.7497,37.1118,0.4709,3.7666
3,36000,4.1998,0.8942,35.706845238095234,0.4799,3.7676,4.0682,0.7571,36.2623,0.4872,3.7651
3,38000,4.2204,0.8982,34.915373765867415,0.4951,3.7696,4.0817,0.755,35.5038,0.5035,3.7642
3,40000,4.2404,0.9028,34.125920964501,0.5095,3.7708,4.1034,0.7684,34.2965,0.512,3.764
4,42000,4.2608,0.9077,33.39923469387755,0.5237,3.7725,4.1238,0.7679,34.0143,0.5332,3.7637
4,44000,4.2752,0.9124,32.734470158343484,0.5375,3.767,4.1471,0.7833,32.9803,0.5416,3.763
4,46000,4.2953,0.9194,32.06755969714618,0.5506,3.7671,4.1688,0.7884,32.5399,0.5587,3.7622
4,48000,4.3156,0.9265,31.417410714285715,0.563,3.7681,4.1843,0.7989,31.4609,0.5636,3.7625
4,50000,4.329,0.9332,30.80385852090032,0.5748,3.7613,4.2087,0.8077,31.0412,0.5793,3.7622
4,52000,4.3506,0.9406,30.185471406491498,0.5859,3.7654,4.2304,0.8147,30.6624,0.5951,3.7607
5,54000,4.3698,0.9475,29.612903225806452,0.5967,3.7674,4.2465,0.8269,29.7376,0.5994,3.7603
5,56000,4.3881,0.9547,29.04306220095694,0.607,3.7685,4.2678,0.8352,29.2671,0.6117,3.7612
5,58000,4.4027,0.9663,28.475750577367208,0.6165,3.76,4.2864,0.843,28.7703,0.6228,3.7607
5,60000,4.4254,0.976,27.909781152300134,0.6249,3.7659,4.3061,0.8562,28.1185,0.6297,3.7602
5,62000,4.4419,0.9839,27.38115816767502,0.6336,3.7659,4.3239,0.8683,27.473,0.6357,3.7599
5,64000,4.4577,0.9936,26.83549602344077,0.6411,3.7639,4.3431,0.8779,26.9959,0.6449,3.7604
5,66000,4.4757,1.003,26.329679252943563,0.6485,3.7656,4.3616,0.8936,26.3012,0.6479,3.7601
6,68000,4.4864,1.0123,26.144,0.6536,3.7606,4.3695,0.8935,26.2618,0.6565,3.7591
6,70000,4.4899,1.0121,26.12,0.653,3.7664,4.3669,0.8875,26.3855,0.6596,3.7597
6,72000,4.4855,1.0102,26.112000000000002,0.6528,3.7633,4.3649,0.8957,26.0091,0.6502,3.7587
6,74000,4.4825,1.0093,26.08,0.652,3.7616,4.3645,0.895,26.0058,0.6501,3.7591
6,76000,4.4804,1.0072,26.084,0.6521,3.7615,4.3608,0.8922,25.9924,0.6498,3.7584
6,78000,4.4777,1.0053,26.08,0.652,3.7606,4.3627,0.8905,26.1535,0.6538,3.7578
6,80000,4.4753,1.0027,26.072,0.6518,3.761,4.3565,0.883,26.19,0.6547,3.7584
7,82000,4.4765,1.0003,26.095999999999997,0.6524,3.765,4.3547,0.8816,26.1741,0.6544,3.7584
7,84000,4.4687,0.9986,26.095999999999997,0.6524,3.757,4.3536,0.8882,25.8847,0.6471,3.7576
7,86000,4.4678,0.9952,26.092,0.6523,3.7604,4.3566,0.8872,26.0625,0.6516,3.7571
7,88000,4.4692,0.9946,26.116,0.6529,3.7623,4.3486,0.8841,25.8585,0.6465,3.7574
7,90000,4.4652,0.9912,26.107999999999997,0.6527,3.7617,4.3488,0.8815,25.9751,0.6494,3.7572
7,92000,4.4636,0.9893,26.124,0.6531,3.7617,4.3512,0.8861,25.861,0.6465,3.7581
8,94000,4.4577,0.9866,26.152,0.6538,3.7563,4.3466,0.8731,26.2319,0.6558,3.7569
8,96000,4.461,0.9855,26.156,0.6539,3.762,4.3448,0.8686,26.3319,0.6583,3.7571
8,98000,4.4565,0.9833,26.171999999999997,0.6543,3.7585,4.344,0.8665,26.3989,0.66,3.7568
8,100000,4.4545,0.9818,26.187999999999995,0.6547,3.7573,4.34,0.8644,26.3344,0.6584,3.7564
8,102000,4.4548,0.9798,26.204,0.6551,3.7599,4.34,0.865,26.3034,0.6576,3.7565
8,104000,4.453,0.977,26.223999999999997,0.6556,3.7605,4.339,0.8657,26.232,0.6558,3.7567
8,106000,4.4522,0.9752,26.236,0.6559,3.7615,4.3382,0.8672,26.1493,0.6537,3.7564
9,108000,4.4505,0.9747,26.244,0.6561,3.7595,4.3404,0.8607,26.5111,0.6628,3.7558
9,110000,4.4484,0.9705,26.28,0.657,3.7612,4.334,0.8605,26.2572,0.6564,3.756
9,112000,4.4447,0.971,26.288,0.6572,3.7554,4.3329,0.8624,26.1494,0.6537,3.7556
9,114000,4.445,0.9671,26.307999999999996,0.6577,3.7603,4.3318,0.8596,26.2111,0.6553,3.7559
9,116000,4.4435,0.9662,26.323999999999998,0.6581,3.759,4.3302,0.8546,26.365,0.6591,3.7553
9,118000,4.4421,0.9641,26.356,0.6589,3.7587,4.3352,0.8615,26.299,0.6575,3.7551
9,120000,4.4421,0.9641,26.347999999999995,0.6587,3.759,4.3288,0.8552,26.2749,0.6569,3.7557
10,122000,4.4386,0.9617,26.364,0.6591,3.7571,4.3289,0.8499,26.4875,0.6622,3.7558
10,124000,4.4399,0.9592,26.38,0.6595,3.7616,4.3277,0.854,26.2886,0.6572,3.7554
10,126000,4.4344,0.9568,26.419999999999998,0.6605,3.7562,4.3254,0.8467,26.5122,0.6628,3.7546
10,128000,4.4336,0.9557,26.436,0.6609,3.7561,4.3259,0.8489,26.4578,0.6614,3.7541
10,130000,4.4347,0.9548,26.432000000000002,0.6608,3.7589,4.3222,0.8428,26.5158,0.6629,3.7554
